# Reflexible maps with E edges on orientable surfaces of genus G.
# Unsensed maps = (sensed maps + reflexible maps) / 2.

            E\G              0              1               2               3               4               5               6               7              8              9             10
              1              2              0               0               0               0               0               0               0              0              0              0
              2              4              1               0               0               0               0               0               0              0              0              0
              3             14              6               0               0               0               0               0               0              0              0              0
              4             47             34               4               0               0               0               0               0              0              0              0
              5            184            188              46               0               0               0               0               0              0              0              0
              6            761           1040             408              33               0               0               0               0              0              0              0
              7           3314           5756            3220             538               0               0               0               0              0              0              0
              8          14997          32069           23824            6489             398               0               0               0              0              0              0
              9          69886         179408          169336           66150            8506               0               0               0              0              0              0
             10         333884        1009234         1170654          611278          129030            6405               0               0              0              0              0
             11        1626998        5700548         7930892         5279172         1608172          168702               0               0              0              0              0
             12        8067786       32341002        52930196        43429578        17758601         3080190          128448               0              0              0              0
             13       40580084      184127288       349053488       344190124       180026700        45280856         4026822               0              0              0              0
             14      206734083     1051938246      2280457126      2649561190      1712738614       580618980        85822238         3089757              0              0              0
             15     1064666724     6027570696     14783371400     19918907572     15507351100      6745372644      1452089070       112291602              0              0              0
             16     5536480877    34633996337     95228058478    146868926600    134958986546     72739518098     21176472478      2734291223       86646690              0              0
             17    29036188788   199493134900    610101444296   1065349932344   1136920229364    739555972316    277036158176     52287599128     3582361170              0              0
             18   153450351924  1151705702152   3890897744052   7621403673352   9321110306256   7169336684794   3335438607240    853904413398    98051133760     2776143465              0
             19   816503772830  6662629226084  24715583095164  53874291850712  74675869710192  66805040780460  37584550725620  12411528146792  2089912717872   128653723350              0
             20  4371551433888 38616455134874 156457516460140 376891815871144 586523209939062 602096943840690 401203776385068 164892693924708 37759585494959  3908465132670   100037896380
