# Reflexible maps with E edges on orientable surfaces of genus G.
# Unsensed maps = (sensed maps + reflexible maps) / 2.

            E\G              0              1              2              3              4              5
              1              2              0              0              0              0              0
              2              4              1              0              0              0              0
              3             14              6              0              0              0              0
              4             47             34              4              0              0              0
              5            184            188             46              0              0              0
              6            761           1040            408             33              0              0
              7           3314           5756           3220            538              0              0
              8          14997          32069          23824           6489            398              0
              9          69886         179408         169336          66150           8506              0
             10         333884        1009234        1170654         611278         129030           6405
